Gene	Weight	Module	Annotation	Name
LOC_Os01g57890	0.956914062	brown		
LOC_Os02g12540	0.945419011	brown		
LOC_Os10g38710	0.930740761	black		
LOC_Os03g63950	0.906131924	turquoise		
LOC_Os06g14460	0.92794653	green		
LOC_Os03g26650	0.952792529	red		
LOC_Os02g06754	0.940102628	brown		
LOC_Os03g20760	0.938728627	blue		
LOC_Os11g34720	0.936844142	blue		
LOC_Os03g14900	0.918837233	green		
LOC_Os05g24780	0.934663956	magenta		
LOC_Os09g11440	0.913352809	green		
LOC_Os11g14260	0.929930313	blue		
LOC_Os08g31060	0.93900845	blue		
LOC_Os10g14020	0.900053264	purple		
LOC_Os04g39770	0.933024824	brown		
LOC_Os05g26444	0.906702429	purple		
LOC_Os03g24160	0.913392117	red		
LOC_Os01g50810	0.961222429	red		
LOC_Os03g02040	0.901549847	blue		
LOC_Os04g01150	0.945679831	red		
LOC_Os03g63390	0.963101829	blue		
LOC_Os01g58500	0.907091485	magenta		
LOC_Os08g41290	0.919424688	green		
LOC_Os07g37850	0.923615392	blue		
LOC_Os05g43870	0.933971723	blue		
LOC_Os03g64290	0.945764792	red		
LOC_Os10g39740	0.90306882	blue		
LOC_Os03g20700	0.933235305	black		
LOC_Os03g52650	0.91834556	green		
LOC_Os11g07020	0.93260345	black		
LOC_Os01g05010	0.930379904	brown		
LOC_Os07g41350	0.959945345	lightcyan		
LOC_Os02g46600	0.941895884	blue		
LOC_Os12g41290	0.902513563	green		
LOC_Os03g18370	0.963141994	blue		
LOC_Os02g26290	0.989326502	red		
LOC_Os04g33740	0.925502735	brown		
LOC_Os05g33890	0.917068099	green		
LOC_Os07g45260	0.970903002	red		
LOC_Os09g28690	0.909615513	green		
LOC_Os02g51370	0.947072548	blue		
LOC_Os09g26760	0.909670069	green		
LOC_Os07g18158	0.923553797	blue		
LOC_Os03g48235	0.907462513	brown		
LOC_Os09g26840	0.961741368	red		
LOC_Os07g06850	0.91159902	turquoise		
LOC_Os06g40890	0.975950838	red		
LOC_Os01g50910	0.941100513	purple		
LOC_Os06g10650	0.920123337	purple		
LOC_Os01g65690	0.918771554	blue		
LOC_Os04g35010	0.952135161	pink		
LOC_Os06g11320	0.957005165	brown		
LOC_Os04g24430	0.983602503	blue		
LOC_Os08g02450	0.931041536	red		
LOC_Os01g35840	0.952953163	pink		
LOC_Os08g24770	0.928632154	black		
LOC_Os04g46200	0.994368375	purple		
LOC_Os01g21990	0.943437331	turquoise		
LOC_Os03g12030	0.909987254	blue		
LOC_Os02g39380	0.908829573	red		
LOC_Os03g12570	0.933186529	red		
LOC_Os03g07590	0.966268472	purple		
LOC_Os04g59050	0.943953582	green		
LOC_Os11g18320	0.954758983	red		
LOC_Os06g47820	0.930123768	blue		
LOC_Os11g12410	0.910070438	brown		
LOC_Os10g42490	0.902678597	green		
LOC_Os03g14630	0.919486956	brown		
LOC_Os12g33210	0.922991245	brown		
LOC_Os02g31940	0.990950888	red		
LOC_Os02g23826	0.950275383	green		
LOC_Os09g20540	0.975116734	blue		
LOC_Os08g38590	0.953264284	red		
LOC_Os12g08850	0.901195335	tan		
LOC_Os03g03890	0.922178376	magenta		
LOC_Os05g48520	0.977981681	red		
LOC_Os12g08200	0.980020298	blue		
LOC_Os04g44740	0.927383189	brown		
LOC_Os10g19902	0.924703572	brown		
LOC_Os01g60080	0.96284561	red		
LOC_Os02g48360	0.957232777	green		
LOC_Os08g25734	0.950929315	pink		
