seqnames	start	end	width	strand	strand.1	pvalue	qvalue	meth.diff	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	19002	19200	199	*	*	1.17416206571117e-09	5.39508593302316e-08	-10.9468981932019	Intron (LOC_Os01g01010.1/LOC_Os01g01010, intron 8 of 10)	1	21990	22509	520	1	LOC_Os01g01019	LOC_Os01g01019.1	-2790
chr1	174202	174400	199	*	*	9.69894925039116e-06	0.000230508073391581	-16.1896172300588	Distal Intergenic	1	179778	180439	662	2	LOC_Os01g01340	LOC_Os01g01340.1	6039
chr1	220402	220600	199	*	*	1.69644505152782e-14	1.30149174549048e-12	-29.5831231693612	Promoter (<=1kb)	1	219945	224359	4415	1	LOC_Os01g01420	LOC_Os01g01420.1	457
chr1	293602	293800	199	*	*	8.77500944308634e-06	0.00021034315658654	-16.8947070406585	Distal Intergenic	1	290156	290668	513	1	LOC_Os01g01544	LOC_Os01g01544.1	3446
chr1	334602	334800	199	*	*	2.59454938160422e-05	0.000556269888549445	-13.9025198938992	Promoter (<=1kb)	1	332980	334166	1187	2	LOC_Os01g01650	LOC_Os01g01650.1	-436
chr1	336002	336200	199	*	*	7.67558994242745e-20	8.80263797947453e-18	-37.1135404679708	Promoter (1-2kb)	1	332980	334166	1187	2	LOC_Os01g01650	LOC_Os01g01650.1	-1836
chr1	427202	427400	199	*	*	5.99428702415325e-05	0.00117236113448622	-11.0277957336781	Intron (LOC_Os01g01790.1/LOC_Os01g01790, intron 10 of 10)	1	426539	430777	4239	2	LOC_Os01g01790	LOC_Os01g01790.1	3377
chr1	519002	519200	199	*	*	5.26915556497619e-12	3.18146545485803e-10	-26.1337035222386	Promoter (<=1kb)	1	519588	520385	798	1	LOC_Os01g01930	LOC_Os01g01930.1	-388
chr1	532202	532400	199	*	*	3.44963005590469e-07	1.08666166459258e-05	-20.0279744732931	Promoter (1-2kb)	1	523874	533656	9783	2	LOC_Os01g01960	LOC_Os01g01960.1	1256
chr1	580402	580600	199	*	*	2.72434231273333e-06	7.26041131486105e-05	-19.9025819197493	Promoter (1-2kb)	1	572505	582425	9921	2	LOC_Os01g02050	LOC_Os01g02050.1	1825
chr1	627802	628000	199	*	*	0.00293990619325305	0.0322898170979825	-11.4832089552239	Distal Intergenic	1	630769	631827	1059	2	LOC_Os01g02130	LOC_Os01g02130.1	3827
chr1	739802	740000	199	*	*	1.05990746099319e-09	4.89095839308272e-08	-18.1021011673152	Promoter (1-2kb)	1	741393	743346	1954	1	LOC_Os01g02310	LOC_Os01g02310.1	-1393
chr1	755602	755800	199	*	*	6.80407855064983e-06	0.000167113136129036	-16.2953050072488	Promoter (1-2kb)	1	750632	754193	3562	2	LOC_Os01g02334	LOC_Os01g02334.1	-1409
chr1	777202	777400	199	*	*	3.08872763152998e-14	2.31470486552681e-12	-15.9884411672275	Distal Intergenic	1	783227	786327	3101	1	LOC_Os01g02400	LOC_Os01g02400.1	-5827
chr1	783202	783400	199	*	*	0.000436109643960225	0.00661721574404369	-15.7268170426065	Promoter (<=1kb)	1	783227	786327	3101	1	LOC_Os01g02400	LOC_Os01g02400.1	0
chr1	797602	797800	199	*	*	6.99630302037582e-09	2.88428336521213e-07	-26.7230326117254	Distal Intergenic	1	794227	797225	2999	1	LOC_Os01g02420	LOC_Os01g02420.1	3375
chr1	809002	809200	199	*	*	0.0011630958211297	0.0151194953415085	-11.8812747435421	Promoter (<=1kb)	1	809627	810318	692	1	LOC_Os01g02470	LOC_Os01g02470.1	-427
chr1	968402	968600	199	*	*	2.90796969342396e-06	7.70531860493704e-05	-13.6007013581384	Promoter (1-2kb)	1	966900	969464	2565	1	LOC_Os01g02750	LOC_Os01g02750.1	1502
chr1	1007602	1007800	199	*	*	0.000950058408545688	0.0127669435327922	-11.0687476088075	3' UTR	1	1007538	1010104	2567	2	LOC_Os01g02800	LOC_Os01g02800.1	2304
chr1	1033602	1033800	199	*	*	0.00179313815259067	0.0216099609903795	-12.0929994366774	Distal Intergenic	1	1028739	1032354	3616	1	LOC_Os01g02880	LOC_Os01g02880.1	4863
chr1	1050002	1050200	199	*	*	0.00025671027710322	0.00419091082624689	-10.1328903654485	Distal Intergenic	1	1059705	1065945	6241	1	LOC_Os01g02890	LOC_Os01g02890.1	-9505
chr1	1115402	1115600	199	*	*	9.26089948922153e-08	3.2266224265331e-06	-15.6203080256946	Promoter (<=1kb)	1	1116565	1121032	4468	1	LOC_Os01g02960	LOC_Os01g02960.1	-965
chr1	1134202	1134400	199	*	*	0.00487480524549742	0.0481365262855092	-11.3317757009346	Promoter (<=1kb)	1	1133221	1139650	6430	1	LOC_Os01g02980	LOC_Os01g02980.1	981
chr1	1134802	1135000	199	*	*	8.65240298855217e-07	2.53696749319779e-05	-20.2338669131838	Promoter (1-2kb)	1	1133221	1139650	6430	1	LOC_Os01g02980	LOC_Os01g02980.1	1581
chr1	1209202	1209400	199	*	*	2.98336969921135e-13	2.04560383601614e-11	-19.5134443021767	Distal Intergenic	1	1199730	1203257	3528	2	LOC_Os01g03100	LOC_Os01g03100.1	-5945
chr1	1261802	1262000	199	*	*	8.12252747158881e-15	6.40476919846173e-13	-20.1825827744065	Distal Intergenic	1	1267147	1268250	1104	1	LOC_Os01g03190	LOC_Os01g03190.1	-5147
chr1	1283602	1283800	199	*	*	2.88953003268903e-10	1.43364719428981e-08	-23.3333333333333	Distal Intergenic	1	1277247	1278164	918	1	LOC_Os01g03210	LOC_Os01g03210.1	6355
chr1	1299002	1299200	199	*	*	8.57890576964288e-14	6.16333162171867e-12	-17.469761997659	Distal Intergenic	1	1314508	1315902	1395	1	LOC_Os01g03220	LOC_Os01g03220.1	-15308
