JAPONICA NIPPONBARE POSITIONS,ASSAY ID,ACCESSION,SUBPOPULATION,MISMATCH,25462764,25463321
JAPONICA NIPPONBARE ALLELES,,,,,A,A
MSU7 EFFECTS (cds-Non-synonymous/cds-Synonymous/Cds/3'UTR/5'UTR/Exon/splice Acceptor/splice Donor/Gene-intron/Promoter),,,,,missense_variant,3_prime_UTR
"COLOMBIA XXI::G1::[IRIS 313-15908]",IRIS 313-15908,IRGC 126955,aus,2.0,G,G
"IET 14720::IRTP 23179-G1::[IRIS 313-15909]",IRIS 313-15909,IRGC 126958,aro,2.0,G,G
"JAGLI BORO::IRGC 27516-2::[IRIS 313-8252]",IRIS 313-8252,IRGC 121233,aus,2.0,G,G
"BHADOIA 303::IRGC 6588-1::[IRIS 313-8321]",IRIS 313-8321,IRGC 120894,aus,2.0,G,G
"SUFAID 246::IRGC 28303-1::[IRIS 313-8390]",IRIS 313-8390,IRGC 121128,aus,2.0,G,G
"JABOR SAIL::IRGC 66831-1::[IRIS 313-8410]",IRIS 313-8410,IRGC 121618,aus,2.0,G,G
"ARC 11959::IRGC 21780-1::[IRIS 313-8554]",IRIS 313-8554,IRGC 121188,aus,2.0,G,G
"HOLOI BASH (SOLOI BASH)::IRGC 64778-1::[IRIS 313-8721]",IRIS 313-8721,IRGC 120969,aus,2.0,G,G
"TAK SUFAID::IRGC 73127-1::[IRIS 313-9283]",IRIS 313-9283,IRGC 121134,aus,2.0,G,G
"CHANDARHAT::IRGC 25845-1::[IRIS 313-9368]",IRIS 313-9368,IRGC 121605,aus,2.0,G,G
"DANGAR::IRGC 76296-1::[IRIS 313-9610]",IRIS 313-9610,IRGC 120927,aus,2.0,G,G
"KALIA::IRGC 34699-1::[IRIS 313-9626]",IRIS 313-9626,IRGC 121005,aus,2.0,G,G
"PODI HEENATI::IRGC 36345-1::[IRIS 313-9636]",IRIS 313-9636,IRGC 121473,aus,2.0,G,G
"HODARAWALA::IRGC 67631-1::[IRIS 313-10020]",IRIS 313-10020,IRGC 120968,aus,2.0,G,G
"SIMUL KHURI::IRGC 35154-1::[IRIS 313-8771]",IRIS 313-8771,IRGC 121120,aus,2.0,G,G
"NOROI::IRGC 31611-1::[IRIS 313-8864]",IRIS 313-8864,IRGC 121069,aus,2.0,G,G
"KOYRA::IRGC 77267-1::[IRIS 313-8283]",IRIS 313-8283,IRGC 121026,aus,2.0,G,G
"AUS 439::IRGC 29221-1::[IRIS 313-8641]",IRIS 313-8641,IRGC 120876,aus,2.0,G,G
"BEGUM::IRGC 33990-1::[IRIS 313-9641]",IRIS 313-9641,IRGC 125602,aus,2.0,G,G
"KOIYA DIGHA::IRGC 63517-1::[IRIS 313-9445]",IRIS 313-9445,IRGC 125806,admix,2.0,G,G
"ROPA::IRGC 74774-1::[IRIS 313-8704]",IRIS 313-8704,,ind2,2.0,G,G
"BHOJON KOLPO::IRGC 31727-1::[IRIS 313-9067]",IRIS 313-9067,IRGC 125681,ind2,2.0,G,G
"BADAL 1163::IRGC 32796-1::[IRIS 313-9148]",IRIS 313-9148,IRGC 125664,ind2,2.0,G,G
"HTA 22::IRGC 45827-1::[IRIS 313-9602]",IRIS 313-9602,IRGC 125765,indx,2.0,G,G
"BONG BOI::IRGC 32094-1::[IRIS 313-9637]",IRIS 313-9637,IRGC 125689,ind3,2.0,G,G
"PSBRC 68::IRGC 99711-1::[IRIS 313-10235]",IRIS 313-10235,IRGC 125874,indx,2.0,G,G
"IR 57514-PMI 5-B-1-2::IRGC 117372-1::[IRIS 313-10360]",IRIS 313-10360,IRGC 126025,indx,2.0,G,G
"URAIBOOL::IRGC 52785-1::[IRIS 313-8305]",IRIS 313-8305,IRGC 126289,ind2,2.0,G,G
"NOLOS::IRGC 77285-1::[IRIS 313-8733]",IRIS 313-8733,,ind2,2.0,G,G
"WIR 1391::IRGC 51605-1::[IRIS 313-9963]",IRIS 313-9963,,aus,2.0,G,G
"SERIBU::IRGC 71615-1::[IRIS 313-8987]",IRIS 313-8987,,indx,2.0,G,G
"ISWAR KORA::IRGC 50674-1::[IRIS 313-11432]",IRIS 313-11432,IRGC 127443,admix,2.0,G,G
"KOLAMBA::IRGC 52456-1::[IRIS 313-11456]",IRIS 313-11456,IRGC 127528,aus,2.0,G,G
"SALSI::IRGC 52833-1::[IRIS 313-11462]",IRIS 313-11462,IRGC 127780,aus,2.0,G,G
"BOTESHSHORE::IRGC 53484-1::[IRIS 313-11483]",IRIS 313-11483,IRGC 128244,aus,2.0,G,G
"SIRHANTI::IRGC 53930-1::[IRIS 313-11492]",IRIS 313-11492,IRGC 127813,aus,2.0,G,G
"KHAO KUM PAR::IRGC 57966-1::[IRIS 313-11542]",IRIS 313-11542,IRGC 132402,admix,2.0,G,G
"KUSUM KATIKI::IRGC 59099-1::[IRIS 313-11565]",IRIS 313-11565,IRGC 127536,ind2,2.0,G,G
"MALCHI::IRGC 61004-1::[IRIS 313-11602]",IRIS 313-11602,IRGC 127597,aus,2.0,G,G
"PANDRI PAREWA::IRGC 61030-1::[IRIS 313-11603]",IRIS 313-11603,IRGC 128425,aus,2.0,G,G
"UPRH 166::IRGC 61615-1::[IRIS 313-11619]",IRIS 313-11619,IRGC 127875,aus,2.0,G,G
"CHOBO::IRGC 61930-1::[IRIS 313-11625]",IRIS 313-11625,IRGC 127281,aro,2.0,G,G
"GUDURA::IRGC 61955-1::[IRIS 313-11626]",IRIS 313-11626,IRGC 127395,aro,2.0,G,G
"JADO::IRGC 61966-1::[IRIS 313-11627]",IRIS 313-11627,IRGC 127448,aro,2.0,G,G
"LATIJHABAR::IRGC 61991-1::[IRIS 313-11629]",IRIS 313-11629,IRGC 127554,aus,2.0,G,G
"POHHERLIMASION::IRGC 62025-1::[IRIS 313-11630]",IRIS 313-11630,IRGC 127737,aro,2.0,G,G
"SETO JHINUWA::IRGC 62043-1::[IRIS 313-11632]",IRIS 313-11632,IRGC 128466,aro,2.0,G,G
"NCS 271 A::IRGC 62216-1::[IRIS 313-11636]",IRIS 313-11636,IRGC 127654,aus,2.0,G,G
"DERAWA::IRGC 64106-1::[IRIS 313-11671]",IRIS 313-11671,IRGC 127313,ind2,2.0,G,G
"KHAO' PAWM::IRGC 64416-2::[IRIS 313-11681]",IRIS 313-11681,IRGC 132426,ind3,2.0,G,G
"GORA DHAN 2::IRGC 66269-1::[IRIS 313-11712]",IRIS 313-11712,IRGC 127389,aus,2.0,G,G
"BAHN DAENG::IRGC 65771-1::[IRIS 313-11704]",IRIS 313-11704,,ind3,2.0,G,G
"BUTNAPAR::IRGC 74734-1::[IRIS 313-11917]",IRIS 313-11917,IRGC 127241,aus,2.0,G,G
"KANATO::IRGC 75306-2::[IRIS 313-11934]",IRIS 313-11934,IRGC 128071,indx,2.0,G,G
"MALIKULI::IRGC 76237-1::[IRIS 313-11945]",IRIS 313-11945,IRGC 127598,ind2,2.0,G,G
"PUANG MAHLAI KHAO::IRGC 76959-1::[IRIS 313-11958]",IRIS 313-11958,,ind3,2.0,G,G
"SHYAMJIRA::IRGC 77522-1::[IRIS 313-11969]",IRIS 313-11969,IRGC 135795,ind2,2.0,G,G
"LARA BORO::IRGC 79342-1::[IRIS 313-12002]",IRIS 313-12002,IRGC 127553,aus,2.0,G,G
"PORASHI::IRGC 78397-1::[IRIS 313-11982]",IRIS 313-11982,IRGC 127739,aus,2.0,G,G
"NEANG CHEK::IRGC 83894-1::[IRIS 313-12096]",IRIS 313-12096,IRGC 135573,ind3,2.0,G,G
"MANSARA DHAN::IRGC 86940-1::[IRIS 313-12139]",IRIS 313-12139,IRGC 127604,aus,2.0,G,G
"KALAMON 113::IRGC 6534-1::[IRIS 313-10537]",IRIS 313-10537,,admix,2.0,G,G
"DODGUI::IRGC 6666-1::[IRIS 313-10543]",IRIS 313-10543,IRGC 128281,aus,2.0,G,G
"KARIA::IRGC 6702-1::[IRIS 313-10545]",IRIS 313-10545,IRGC 127492,aus,2.0,G,G
"DJ 69::IRGC 8482-1::[IRIS 313-10592]",IRIS 313-10592,IRGC 127324,aus,2.0,G,G
"DJ 47::IRGC 8497-1::[IRIS 313-10593]",IRIS 313-10593,IRGC 127323,aus,2.0,G,G
"DJ 29::IRGC 8505-1::[IRIS 313-10594]",IRIS 313-10594,IRGC 127322,aus,2.0,G,G
"DD 126::IRGC 8667-1::[IRIS 313-10598]",IRIS 313-10598,IRGC 128273,aus,2.0,G,G
"UCP 41::IRGC 8742-1::[IRIS 313-10600]",IRIS 313-10600,IRGC 128493,aus,2.0,G,G
"DV 86::IRGC 8840-1::[IRIS 313-10605]",IRIS 313-10605,IRGC 127348,aus,2.0,G,G
"DV 110::IRGC 8855-1::[IRIS 313-10606]",IRIS 313-10606,IRGC 127346,aus,2.0,G,G
"MATHOLUWA::IRGC 8901-1::[IRIS 313-10609]",IRIS 313-10609,IRGC 127612,indx,2.0,G,G
"SIDALI::IRGC 9567-1::[IRIS 313-10623]",IRIS 313-10623,IRGC 127804,aus,2.0,G,G
"MALOGBANA::IRGC 16086-1::[IRIS 313-10729]",IRIS 313-10729,IRGC 128379,admix,2.0,G,G
"DEVARASI::IRGC 16173-1::[IRIS 313-10734]",IRIS 313-10734,IRGC 127315,aus,2.0,G,G
"LAL SAR::IRGC 16185-1::[IRIS 313-10735]",IRIS 313-10735,IRGC 127546,aus,2.0,G,G
"RERM BILASH::IRGC 16273-2::[IRIS 313-10736]",IRIS 313-10736,IRGC 128149,aus,2.0,G,G
"GHAIYA::IRGC 16286-1::[IRIS 313-10737]",IRIS 313-10737,IRGC 128297,aus,2.0,G,G
"SUDU KARAYAL::IRGC 15348-1::[IRIS 313-10715]",IRIS 313-10715,IRGC 127827,ind2,2.0,G,G
"ARC 7001::IRGC 20436-1::[IRIS 313-10849]",IRIS 313-10849,IRGC 127166,aus,2.0,G,G
"ARC 11751::IRGC 21614-1::[IRIS 313-10869]",IRIS 313-10869,IRGC 127138,aus,2.0,G,G
"ARC 12079::IRGC 21888-1::[IRIS 313-10877]",IRIS 313-10877,IRGC 127143,aus,2.0,G,G
"ARC 12101::IRGC 21907-1::[IRIS 313-10878]",IRIS 313-10878,IRGC 127144,aus,2.0,G,G
"KAMULI::IRGC 23928-1::[IRIS 313-10925]",IRIS 313-10925,IRGC 127485,aus,2.0,G,G
"RAM SALEE KATAKA::IRGC 24014-1::[IRIS 313-10926]",IRIS 313-10926,IRGC 127761,aro,2.0,G,G
"SUGA PANKHA::IRGC 24054-1::[IRIS 313-10927]",IRIS 313-10927,IRGC 127828,aus,2.0,G,G
"PANKHIRAJ::IRGC 24139-1::[IRIS 313-10930]",IRIS 313-10930,IRGC 127714,aus,2.0,G,G
"KATAKCHIKON::IRGC 25880-1::[IRIS 313-10963]",IRIS 313-10963,IRGC 127497,aus,2.0,G,G
"TILOKCHAN (SONABETHI)::IRGC 25927-1::[IRIS 313-10965]",IRIS 313-10965,IRGC 127859,aus,2.0,G,G
"BADAL::IRGC 26290-2::[IRIS 313-10971]",IRIS 313-10971,IRGC 127981,ind2,2.0,G,G
"KALA DIGHA::IRGC 26367-2::[IRIS 313-10973]",IRIS 313-10973,IRGC 128064,ind2,2.0,G,G
"MATI CHAL::IRGC 26399-2::[IRIS 313-10977]",IRIS 313-10977,IRGC 128107,ind2,2.0,G,G
"PANI TORONG::IRGC 26411-1::[IRIS 313-10978]",IRIS 313-10978,IRGC 127713,indx,2.0,G,G
"BORA DIGA::IRGC 26439-1::[IRIS 313-10979]",IRIS 313-10979,,aus,2.0,G,G
"JHUL DIGA::IRGC 26478-1::[IRIS 313-10981]",IRIS 313-10981,IRGC 127456,aus,2.0,G,G
"SUNGA WALA::IRGC 26802-1::[IRIS 313-10987]",IRIS 313-10987,,aus,2.0,G,G
"BOTESWAR 2::IRGC 27536-1::[IRIS 313-11013]",IRIS 313-11013,IRGC 127236,aus,2.0,G,G
"KACHILON::IRGC 27555-1::[IRIS 313-11016]",IRIS 313-11016,IRGC 128328,aus,2.0,G,G
"LOROI::IRGC 27567-1::[IRIS 313-11017]",IRIS 313-11017,IRGC 128369,aus,2.0,G,G
"MADISA::IRGC 27568-1::[IRIS 313-11018]",IRIS 313-11018,IRGC 127586,aus,2.0,G,G
"BAMLA SUFFAID 320::IRGC 27776-1::[IRIS 313-11020]",IRIS 313-11020,IRGC 128236,aus,2.0,G,G
"JHONA 101::IRGC 27976-1::[IRIS 313-11027]",IRIS 313-11027,IRGC 127454,aus,2.0,G,G
"MUSHKAN 340 A::IRGC 28073-1::[IRIS 313-11029]",IRIS 313-11029,IRGC 127641,aus,2.0,G,G
"SANTHI 206::IRGC 28215-1::[IRIS 313-11034]",IRIS 313-11034,IRGC 127786,aus,2.0,G,G
"34::IRGC 28371-2::[IRIS 313-11036]",IRIS 313-11036,IRGC 127919,aus,2.0,G,G
"421::IRGC 28458-1::[IRIS 313-11037]",IRIS 313-11037,IRGC 128211,aus,2.0,G,G
"AUS 171::IRGC 29004-1::[IRIS 313-11048]",IRIS 313-11048,IRGC 127178,aus,2.0,G,G
"AUS 219::IRGC 29031-1::[IRIS 313-11049]",IRIS 313-11049,IRGC 127179,aus,2.0,G,G
