chr	start	end	strand	pvalue	qvalue	meth.diff
198	chr1	191001	191200	*	0.000107309113708943	0.00196167788380382	16.6762866762867
289	chr1	315801	316000	*	0.0027509818421429	0.0306268420753902	11.4328784512853
304	chr1	345001	345200	*	1.69383952427871e-09	7.61833991539017e-08	19.8732770404057
323	chr1	398001	398200	*	1.96037269182748e-08	7.56745732346021e-07	19.2165976985432
343	chr1	431201	431400	*	0.00347228057870917	0.0368924549534531	10.6912915223804
430	chr1	581001	581200	*	0.00277020613721055	0.0307889144979554	12.4263162697326
443	chr1	620801	621000	*	1.7360182345746e-06	4.80968677881063e-05	11.4218161132049
501	chr1	776601	776800	*	0.00164146291267402	0.0201088778720104	11.7257216701884
504	chr1	778201	778400	*	0.000336831404091428	0.00530213252007101	11.1954711954712
637	chr1	953401	953600	*	0.00216743462576176	0.0252410288404714	11.8083140387025
751	chr1	1078801	1079000	*	3.32843181390505e-08	1.24500559595863e-06	18.8272864026924
779	chr1	1130201	1130400	*	0.000360618125026377	0.00562335441303193	11.798775936707
883	chr1	1278801	1279000	*	5.84554697892402e-05	0.00114632037483444	10.8583737997006
935	chr1	1305401	1305600	*	0.00194511512766027	0.0231072936298511	11.6353725496428
961	chr1	1327801	1328000	*	0.000159773655129534	0.00278351492887665	14.2371995820272
1051	chr1	1434201	1434400	*	2.77568296381619e-11	1.55132937660605e-09	25.4084967320261
1240	chr1	1666801	1667000	*	7.48682048508051e-05	0.00142891305461609	11.9911946627772
1262	chr1	1717601	1717800	*	2.67213194332926e-05	0.000570972409419166	12.034913542775
1278	chr1	1740401	1740600	*	0.00016245466169383	0.0028235121600672	11.029933481153
1410	chr1	1959201	1959400	*	5.35118287252214e-06	0.000134452426348832	15.0674961443153
1479	chr1	2042601	2042800	*	2.75175767200611e-07	8.82650746408391e-06	11.8470418470419
1609	chr1	2221801	2222000	*	4.60428427232772e-06	0.000117204631216782	18.9232409381663
1650	chr1	2279201	2279400	*	0.000724205069690874	0.0101508930903248	12.4191923432122
1671	chr1	2339801	2340000	*	0.00336534106400905	0.0359642613605676	11.0390639145392
