seqnames	start	end	width	strand	strand.1	pvalue	qvalue	meth.diff	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	191002	191200	199	*	*	0.000107309113708943	0.00196167788380382	16.6762866762867	Downstream (<=300bp)	1	188745	190796	2052	1	LOC_Os01g01360	LOC_Os01g01360.1	2257
chr1	315802	316000	199	*	*	0.0027509818421429	0.0306268420753902	11.4328784512853	Exon (LOC_Os01g01600.1/LOC_Os01g01600, exon 3 of 7)	1	313501	316665	3165	1	LOC_Os01g01600	LOC_Os01g01600.1	2301
chr1	345002	345200	199	*	*	1.69383952427871e-09	7.61833991539017e-08	19.8732770404057	Promoter (<=1kb)	1	345867	381496	35630	1	LOC_Os01g01689	LOC_Os01g01689.1	-667
chr1	398002	398200	199	*	*	1.96037269182748e-08	7.56745732346021e-07	19.2165976985432	Promoter (1-2kb)	1	393264	396919	3656	2	LOC_Os01g01720	LOC_Os01g01720.1	-1083
chr1	431202	431400	199	*	*	0.00347228057870917	0.0368924549534531	10.6912915223804	Promoter (<=1kb)	1	426539	430777	4239	2	LOC_Os01g01790	LOC_Os01g01790.1	-425
chr1	581002	581200	199	*	*	0.00277020613721055	0.0307889144979554	12.4263162697326	Promoter (1-2kb)	1	572505	582425	9921	2	LOC_Os01g02050	LOC_Os01g02050.1	1225
chr1	620802	621000	199	*	*	1.7360182345746e-06	4.80968677881063e-05	11.4218161132049	Distal Intergenic	1	623040	625638	2599	1	LOC_Os01g02120	LOC_Os01g02120.1	-2040
chr1	776602	776800	199	*	*	0.00164146291267402	0.0201088778720104	11.7257216701884	Distal Intergenic	1	783227	786327	3101	1	LOC_Os01g02400	LOC_Os01g02400.1	-6427
chr1	778202	778400	199	*	*	0.000336831404091428	0.00530213252007101	11.1954711954712	Distal Intergenic	1	783227	786327	3101	1	LOC_Os01g02400	LOC_Os01g02400.1	-4827
chr1	953402	953600	199	*	*	0.00216743462576176	0.0252410288404714	11.8083140387025	Distal Intergenic	1	948399	951192	2794	2	LOC_Os01g02730	LOC_Os01g02730.1	-2210
chr1	1078802	1079000	199	*	*	3.32843181390505e-08	1.24500559595863e-06	18.8272864026924	Distal Intergenic	1	1079264	1082689	3426	2	LOC_Os01g02910	LOC_Os01g02910.1	3689
chr1	1130202	1130400	199	*	*	0.000360618125026377	0.00562335441303193	11.798775936707	Distal Intergenic	1	1133221	1139650	6430	1	LOC_Os01g02980	LOC_Os01g02980.1	-2821
chr1	1278802	1279000	199	*	*	5.84554697892402e-05	0.00114632037483444	10.8583737997006	Promoter (1-2kb)	1	1277247	1278164	918	1	LOC_Os01g03210	LOC_Os01g03210.1	1555
chr1	1305402	1305600	199	*	*	0.00194511512766027	0.0231072936298511	11.6353725496428	Distal Intergenic	1	1314508	1315902	1395	1	LOC_Os01g03220	LOC_Os01g03220.1	-8908
chr1	1327802	1328000	199	*	*	0.000159773655129534	0.00278351492887665	14.2371995820272	Promoter (<=1kb)	1	1328243	1328452	210	1	LOC_Os01g03250	LOC_Os01g03250.1	-243
chr1	1434202	1434400	199	*	*	2.77568296381619e-11	1.55132937660605e-09	25.4084967320261	Promoter (<=1kb)	1	1434836	1441175	6340	1	LOC_Os01g03520	LOC_Os01g03520.1	-436
chr1	1666802	1667000	199	*	*	7.48682048508051e-05	0.00142891305461609	11.9911946627772	Distal Intergenic	1	1670621	1672028	1408	1	LOC_Os01g03890	LOC_Os01g03890.1	-3621
chr1	1717602	1717800	199	*	*	2.67213194332926e-05	0.000570972409419166	12.034913542775	Distal Intergenic	1	1720868	1721268	401	1	LOC_Os01g03960	LOC_Os01g03960.1	-3068
chr1	1740402	1740600	199	*	*	0.00016245466169383	0.0028235121600672	11.029933481153	Distal Intergenic	1	1744881	1745273	393	2	LOC_Os01g04000	LOC_Os01g04000.1	4673
chr1	1959202	1959400	199	*	*	5.35118287252214e-06	0.000134452426348832	15.0674961443153	Promoter (<=1kb)	1	1957792	1958241	450	2	LOC_Os01g04360	LOC_Os01g04360.1	-961
chr1	2042602	2042800	199	*	*	2.75175767200611e-07	8.82650746408391e-06	11.8470418470419	Distal Intergenic	1	2036946	2039434	2489	1	LOC_Os01g04540	LOC_Os01g04540.1	5656
chr1	2221802	2222000	199	*	*	4.60428427232772e-06	0.000117204631216782	18.9232409381663	Distal Intergenic	1	2215554	2217176	1623	1	LOC_Os01g04800	LOC_Os01g04800.1	6248
chr1	2279202	2279400	199	*	*	0.000724205069690874	0.0101508930903248	12.4191923432122	Distal Intergenic	1	2280107	2284464	4358	2	LOC_Os01g04900	LOC_Os01g04900.1	5064
chr1	2339802	2340000	199	*	*	0.00336534106400905	0.0359642613605676	11.0390639145392	Distal Intergenic	1	2342078	2342310	233	1	LOC_Os01g04970	LOC_Os01g04970.1	-2078
chr1	2360602	2360800	199	*	*	0.000810197901356828	0.0111645377478097	14.6531100478469	Distal Intergenic	1	2363385	2367003	3619	2	LOC_Os01g04990	LOC_Os01g04990.1	6203
chr1	2435202	2435400	199	*	*	2.49000180421252e-06	6.68987017746539e-05	18.3621866468106	Promoter (<=1kb)	1	2435795	2436161	367	1	LOC_Os01g05170	LOC_Os01g05170.1	-395
chr1	2609602	2609800	199	*	*	1.32292452429442e-08	5.24389518441763e-07	19.0255220417633	Distal Intergenic	1	2603026	2607157	4132	2	LOC_Os01g05490	LOC_Os01g05490.1	-2445
chr1	3867402	3867600	199	*	*	8.68365786610505e-06	0.000208354225742602	11.6144792360648	Distal Intergenic	1	3861413	3865216	3804	2	LOC_Os01g07960	LOC_Os01g07960.1	-2186
chr1	3972402	3972600	199	*	*	0.00118781013547907	0.0153801733933092	11.8392589716568	Promoter (1-2kb)	1	3973698	3977466	3769	1	LOC_Os01g08170	LOC_Os01g08170.1	-1098
chr1	4011802	4012000	199	*	*	1.2096756482163e-05	0.000281392671557336	11.1555408399766	Distal Intergenic	1	4018626	4020311	1686	2	LOC_Os01g08220	LOC_Os01g08220.1	8311
chr1	4015602	4015800	199	*	*	0.00111599999138394	0.0146053054776541	11.9073718827076	Distal Intergenic	1	4018626	4020311	1686	2	LOC_Os01g08220	LOC_Os01g08220.1	4511
chr1	4238802	4239000	199	*	*	0.000497931002260418	0.00741012484754697	12.643975112489	Distal Intergenic	1	4230787	4233036	2250	2	LOC_Os01g08520	LOC_Os01g08520.1	-5766
chr1	4483802	4484000	199	*	*	0.000279030916069658	0.00450953364054553	13.4445627736363	5' UTR	1	4470905	4473234	2330	2	LOC_Os01g08880	LOC_Os01g08880.1	-10568
chr1	4585402	4585600	199	*	*	4.26551577178746e-05	0.000867302463183828	14.0287277701778	Distal Intergenic	1	4588002	4588364	363	1	LOC_Os01g09090	LOC_Os01g09090.1	-2402
chr1	4598002	4598200	199	*	*	0.000520173347106012	0.00768512950864908	11.5934184888504	Exon (LOC_Os01g09120.1/LOC_Os01g09120, exon 5 of 7)	1	4597015	4600873	3859	2	LOC_Os01g09120	LOC_Os01g09120.1	2673
chr1	4728202	4728400	199	*	*	1.52268340390644e-08	5.97345851853027e-07	16.2898678901111	Promoter (1-2kb)	1	4729647	4730048	402	1	LOC_Os01g09270	LOC_Os01g09270.1	-1247
