chr	start	end	strand	pvalue	qvalue	meth.diff
5	chr1	19001	19200	*	1.17416206571117e-09	5.39508593302316e-08	-10.9468981932019
183	chr1	174201	174400	*	9.69894925039116e-06	0.000230508073391581	-16.1896172300588
208	chr1	220401	220600	*	1.69644505152782e-14	1.30149174549048e-12	-29.5831231693612
273	chr1	293601	293800	*	8.77500944308634e-06	0.00021034315658654	-16.8947070406585
296	chr1	334601	334800	*	2.59454938160422e-05	0.000556269888549445	-13.9025198938992
299	chr1	336001	336200	*	7.67558994242745e-20	8.80263797947453e-18	-37.1135404679708
338	chr1	427201	427400	*	5.99428702415325e-05	0.00117236113448622	-11.0277957336781
401	chr1	519001	519200	*	5.26915556497619e-12	3.18146545485803e-10	-26.1337035222386
407	chr1	532201	532400	*	3.44963005590469e-07	1.08666166459258e-05	-20.0279744732931
428	chr1	580401	580600	*	2.72434231273333e-06	7.26041131486105e-05	-19.9025819197493
446	chr1	627801	628000	*	0.00293990619325305	0.0322898170979825	-11.4832089552239
486	chr1	739801	740000	*	1.05990746099319e-09	4.89095839308272e-08	-18.1021011673152
493	chr1	755601	755800	*	6.80407855064983e-06	0.000167113136129036	-16.2953050072488
502	chr1	777201	777400	*	3.08872763152998e-14	2.31470486552681e-12	-15.9884411672275
505	chr1	783201	783400	*	0.000436109643960225	0.00661721574404369	-15.7268170426065
516	chr1	797601	797800	*	6.99630302037582e-09	2.88428336521213e-07	-26.7230326117254
524	chr1	809001	809200	*	0.0011630958211297	0.0151194953415085	-11.8812747435421
681	chr1	968401	968600	*	2.90796969342396e-06	7.70531860493704e-05	-13.6007013581384
717	chr1	1007601	1007800	*	0.000950058408545688	0.0127669435327922	-11.0687476088075
724	chr1	1033601	1033800	*	0.00179313815259067	0.0216099609903795	-12.0929994366774
733	chr1	1050001	1050200	*	0.00025671027710322	0.00419091082624689	-10.1328903654485
758	chr1	1115401	1115600	*	9.26089948922153e-08	3.2266224265331e-06	-15.6203080256946
785	chr1	1134201	1134400	*	0.00487480524549742	0.0481365262855092	-11.3317757009346
787	chr1	1134801	1135000	*	8.65240298855217e-07	2.53696749319779e-05	-20.2338669131838
843	chr1	1209201	1209400	*	2.98336969921135e-13	2.04560383601614e-11	-19.5134443021767
873	chr1	1261801	1262000	*	8.12252747158881e-15	6.40476919846173e-13	-20.1825827744065
889	chr1	1283601	1283800	*	2.88953003268903e-10	1.43364719428981e-08	-23.3333333333333
925	chr1	1299001	1299200	*	8.57890576964288e-14	6.16333162171867e-12	-17.469761997659
940	chr1	1311001	1311200	*	4.16624647034436e-05	0.000849576042147574	-11.7425884727741
950	chr1	1316601	1316800	*	0.00120812229118918	0.0156012520730822	-10.5427699725037
980	chr1	1351001	1351200	*	0.000972458868329768	0.0130246514569538	-15.0302272253492
982	chr1	1353001	1353200	*	6.89135857676891e-05	0.00132733227444316	-12.8039100650527
991	chr1	1366201	1366400	*	4.04074090494775e-05	0.000827060968921849	-10.0590020751386
1021	chr1	1392001	1392200	*	0.000385626279296627	0.00595454142739074	-12.7889526299228
